"Nome","Prezzo"
"Impasto Alto ""Napoletao"" (Su richiesta +0,50??? del listino prezzi)","0,50"
"Doppio Pomodoro, Basilico, Ketchup, Maionese, Tabasco","1,00"
"Impasto Integrale","1,00"
"Impasto Integrale Bio (Su richiesta +1??? del listino prezzi)","1,00"
"Impasto Alto ""Napoletao""","1,00"
"Asparagi, Brie, Noci, Grana, Pancetta, Bresaola, Speck,Gorgonzola, Stracchino, Porcini, Salame Piccante, Verdure Singole, Tonno,Formaggi, Mortadella, Scamorza, Mais, Patatine Fritte, Funghi Trifolati, Prosciutto Crudo, Provolone, Fiori di zucca, Scamorza, Pecorino, Salmone","2,00"
"Impasto al Kamut","2,00"
"Impasto Kamut Bio (Su richiesta +2??? del listino prezzi)","2,00"
"Mozzarella di Bufala","3,00"
